2022-10-23 14:50:10 cpu: 5
2022-10-23 14:55:12 cpu: 10
2022-10-23 15:00:12 cpu: 15
2022-10-23 15:05:13 cpu: 20
2022-10-23 15:10:13 cpu: 25
2022-10-23 15:15:13 cpu: 30
2022-10-23 15:20:14 cpu: 35
2022-10-23 15:25:14 cpu: 40
2022-10-23 15:30:14 cpu: 45
2022-10-23 15:35:14 cpu: 50
2022-10-23 15:40:14 cpu: 55
2022-10-23 15:45:14 cpu: 60
2022-10-23 15:50:15 cpu: 65
2022-10-23 15:55:15 cpu: 70
2022-10-23 16:00:15 cpu: 75
2022-10-23 16:05:15 cpu: 80
2022-10-23 16:10:15 cpu: 85
2022-10-23 16:15:15 cpu: 90
2022-10-23 16:20:15 cpu: 95
2022-10-23 16:25:15 cpu: 100
