,l3cache_stress,qos,context_switches,branch_misses,branch_load_misses,ipc,cpu_migrations,page_faults,cache_references,cache_misses,LLC_loads,LLC_load_misses,LLC_stores,LLC_store_misses,L1_dcache_loads,L1_dcache_load_misses,L1_icache_load_misses,dTLB_load_misses,dTLB_loads,dTLB_store_misses,dTLB_stores,iTLB_load_misses,node_load_misses,node_loads
10,11.0,0.9127091666666667,17893.910714285714,29547061.785714287,29556731.785714287,0.9819642857142856,1311.625,15870.19642857143,551120028.1428572,169388731.80357143,66402303.178571425,15658998.267857144,102305266.85714285,29709879.67857143,8253277936.892858,487136402.1785714,70556065.01785715,5204367.785714285,8256418417.267858,3439974.3928571427,3659603942.232143,3739743.8928571427,7791206.25,7764563.875
11,12.0,0.9213365882352941,17851.64912280702,29690175.666666668,29674920.63157895,0.9812280701754387,1452.3508771929824,16245.894736842105,552041402.0877193,170574699.75438598,66725128.385964915,15754703.298245614,102235578.73684211,29843938.36842105,8411637952.596491,488678313.1754386,71392308.78947368,5222945.245614035,8379695549.719298,3425823.50877193,3697994183.8421054,3794647.4736842103,7781250.157894737,7842956.7894736845
12,13.0,0.9308800099999998,17756.22807017544,29280591.10526316,29279446.719298247,0.967719298245614,1420.877192982456,15331.543859649122,545060006.3157895,170440967.7368421,65808412.78947368,15614411.140350876,100590585.12280701,29333475.649122808,8121352179.087719,480442615.31578946,70869408.42105263,5198163.96491228,8121087000.385965,3404474.4385964912,3593864108.2982454,3724158.210526316,7671697.192982456,7756225.0
13,14.0,0.93675002,17619.42105263158,29142861.298245613,29153420.175438598,0.9645614035087718,1680.982456140351,15695.561403508771,543132350.8245614,168871855.7368421,65034346.75438596,15413963.578947369,100470593.40350877,29039933.38596491,8147034755.631579,479840001.80701756,70954777.89473684,5189491.947368421,8125228280.649123,3337995.298245614,3595876077.631579,3742005.6666666665,7737911.368421053,7582357.47368421
14,15.0,0.943070696969697,17683.859649122805,28930373.50877193,28949961.754385963,0.9601754385964911,1629.719298245614,16569.42105263158,544081902.7368422,171517951.87719297,65384200.7368421,15573209.087719299,99365011.05263157,29082060.56140351,8065263687.824561,474582863.7719298,71865354.91228071,5213012.052631579,8122187331.824561,3366651.7192982454,3585485079.982456,3722461.6666666665,7725559.228070175,7690920.824561403
15,16.0,0.9463707448979591,17461.928571428572,28834120.339285713,28841185.32142857,0.9521428571428571,1809.607142857143,15890.42857142857,537852110.2857143,172397031.5357143,65259858.51785714,15543966.285714285,100170399.57142857,29298743.92857143,8063978281.892858,475655980.0,71365583.83928572,5227458.5,8097358594.857142,3371074.4821428573,3600482917.678571,3745784.9285714286,7740537.714285715,7773605.803571428
16,17.0,0.9538163265306123,17582.78947368421,28734052.07017544,28717708.736842107,0.9514035087719298,1768.3859649122808,16457.824561403508,539209314.1754386,173392444.6491228,65278803.508771926,15652971.649122806,99307427.87719299,29197185.0,8075034738.649123,473655611.7017544,72096888.29824561,5224957.052631579,8042467552.087719,3330687.7719298247,3547077826.263158,3729606.6842105263,7605098.912280702,7798919.2105263155
17,18.0,0.9568453814432989,17371.543859649122,28690742.789473683,28705472.649122808,0.9529824561403507,1866.4035087719299,15971.38596491228,537438668.3859649,172859671.6491228,65258934.368421055,15614448.894736841,99734051.70175439,29161172.92982456,8043883086.403509,472823410.4035088,72857212.75438596,5194830.280701755,7940037440.263158,3284143.3157894737,3565208007.2105265,3755302.035087719,7825077.175438597,7813502.350877193
18,19.0,0.9636392577319588,17484.01785714286,28825314.80357143,28821907.214285713,0.9439285714285715,1953.9642857142858,16200.607142857143,536141915.53571427,174488857.07142857,65240531.821428575,15610235.5,98877814.07142857,29106681.25,7974878649.642858,469914712.1785714,72421720.55357143,5208745.035714285,7896120302.285714,3259201.9464285714,3527402698.107143,3735687.8571428573,7805605.142857143,7746884.839285715
19,20.0,0.9691615360824742,17384.263157894737,28509342.49122807,28499971.52631579,0.9443859649122808,2020.6315789473683,15476.140350877193,533729141.35087717,172475352.4385965,64900240.561403506,15578601.578947369,97806879.43859649,28726595.245614037,7926848239.596491,466855288.7894737,72561087.94736843,5184476.263157895,7903355475.017544,3231300.964912281,3511358316.2982454,3718928.298245614,7744457.03508772,7659207.263157895
